Run Num,Input Num,WLX Killed,WLX p-value,Effect Size
1,10,TRUE,0.000317873,1.635443595
2,9,TRUE,0.00148455,1.249376275
3,7,TRUE,0.00123454,1.199938321
4,10,TRUE,0.001399806,1.537569106
5,11,TRUE,0.000877229,1.424013868
6,7,TRUE,0.001895947,1.12571223
7,8,TRUE,0.001235866,1.170448697
8,5,TRUE,0.00031643,2.260534062
9,6,TRUE,0.000820719,1.891797213
10,7,TRUE,0.000599196,1.722438892
