0,0.9989633
1,0.99813396
2,0.99958533
3,0.99917066
4,0.99937797
5,0.9989633
6,0.9989633
7,0.99917066
8,0.9989633
9,0.99917066
10,0.99917066
11,0.99917066
12,0.9989633
13,0.99917066
14,0.99958533
15,0.99875593
16,0.99875593
17,0.9989633
18,0.99917066
19,0.99875593
0,0.9989633
1,0.99813396
2,0.99958533
3,0.99917066
4,0.99937797
5,0.9989633
6,0.9989633
7,0.99917066
8,0.9989633
9,0.99917066
10,0.99917066
11,0.99917066
12,0.9989633
13,0.99917066
14,0.99958533
15,0.99875593
16,0.99875593
17,0.9989633
18,0.99917066
19,0.99875593
0,0.9989633
1,0.9985486
2,0.99917066
3,0.9989633
4,0.9989633
5,0.99917066
6,0.9989633
7,0.9989633
8,0.99875593
9,0.9989633
10,0.9989633
11,0.9989633
12,0.99875593
13,0.99875593
14,0.99917066
15,0.99875593
16,0.9989633
17,0.99917066
18,0.99875593
19,0.99875593
