Population,Input Num,Killed Conf
1,509,0.0032
2,572,0.0043
3,652,0.0077
4,540,0.0032
5,526,0.0055
6,551,0.0043
7,597,0.0055
8,529,0.0043
9,519,0.0032
10,576,0.0043
