0,0.99875546
1,0.9991703
2,0.9989629
3,0.99875546
4,0.9989629
5,0.99875546
6,0.99854803
7,0.9989629
8,0.9993777
9,0.9989629
10,0.9989629
11,0.9989629
12,0.9991703
13,0.9989629
14,0.9991703
15,0.9989629
16,0.99875546
17,0.99875546
18,0.9989629
19,0.99875546
0,0.99875546
1,0.9991703
2,0.9989629
3,0.99875546
4,0.9989629
5,0.99875546
6,0.99854803
7,0.9989629
8,0.9993777
9,0.9989629
10,0.9989629
11,0.9989629
12,0.9991703
13,0.9989629
14,0.9991703
15,0.9989629
16,0.99875546
17,0.99875546
18,0.9989629
19,0.99875546
