Run Num,Input Num,WLX Killed,WLX p-value,Effect Size
1,10,FALSE,0.937727356,0.115262849
2,9,FALSE,0.063344743,0.684682287
3,7,TRUE,0.019561335,0.766028037
4,10,FALSE,0.10114823,0.601599069
5,11,FALSE,0.754009004,-0.03632717
6,7,FALSE,0.360272484,-0.299948751
7,8,FALSE,0.679443171,-0.038542645
8,5,FALSE,0.119141431,0.41113085
9,6,FALSE,0.403454621,0.306369221
10,7,FALSE,0.863500048,-0.050806485
