Run Num,Input Num,WLX Killed,WLX p-value,Effect Size
1,10,TRUE,0.004932926,1.316979853
2,9,TRUE,0.000601525,1.561483581
3,7,TRUE,0.018427232,0.674095228
4,10,TRUE,0.001311065,1.644750993
5,11,FALSE,0.106182691,0.429414279
6,7,FALSE,0.052562825,0.798359498
7,8,TRUE,0.03010595,0.872996207
8,5,TRUE,0.000116984,2.658246223
9,6,TRUE,0.045134985,0.664858628
10,7,TRUE,0.001868987,1.070523144
