Run Num,Input Num,WLX Killed,WLX p-value,Effect Size
1,19,TRUE,0,3.635056114
2,14,TRUE,0,2.924351086
3,16,TRUE,0,2.722591972
4,11,TRUE,0,3.147266104
5,18,TRUE,0,3.369952239
6,15,TRUE,0,3.494451999
7,14,TRUE,0,2.654751394
8,15,TRUE,0,3.708136077
9,14,TRUE,0,4.33461769
10,12,TRUE,0,3.092416608
