Run Num,Input Num,WLX Killed,WLX p-value,Effect Size
1,10,TRUE,0.000205884,2.310920562
2,9,TRUE,0.046563879,0.757768993
3,7,TRUE,0.002220334,1.386805866
4,10,TRUE,0.003812796,1.392947925
5,11,TRUE,0.000187652,2.134036705
6,7,TRUE,0.004600747,1.264355833
7,8,TRUE,0.012915943,0.858743324
8,5,TRUE,0.025940207,0.808180817
9,6,TRUE,0.000178025,1.846623579
10,7,TRUE,0.000173137,1.598426668
