Run Num,Input Num,WLX Killed,WLX p-value,Effect Size
1,20,TRUE,0.000326169,1.361691062
2,12,TRUE,0.000122764,2.999217915
3,13,TRUE,0.000280823,2.297737675
4,13,TRUE,0.000499008,1.834754544
5,14,TRUE,0.000122177,2.976354094
6,14,TRUE,0.000257393,2.105275716
7,15,FALSE,0.059410898,0.577504068
8,16,TRUE,0.000467753,1.878217419
9,12,TRUE,0.003431185,1.460904951
10,16,TRUE,0.000639963,1.697935369
