Population,Input Num,Killed Conf
1,553,0.0032
2,618,0.0055
3,593,0.0055
4,665,0.0055
5,593,0.0055
6,612,0.0055
7,574,0.0055
8,631,0.0032
9,562,0.0055
10,568,0.0055
