Population,Input Num,Killed Conf
1,78,0.0032
2,78,0.0043
3,92,0.0032
4,67,0.0032
5,94,0.0032
6,74,0.0032
7,80,0.0032
8,60,0.0032
9,84,0.0032
10,57,0.0032
