0,1.0
1,0.9989633
2,0.99917066
3,0.99937797
4,0.99937797
5,0.9989633
6,0.99958533
7,0.99917066
8,0.99937797
9,0.99875593
10,0.99917066
11,0.99937797
12,0.99937797
13,0.99937797
14,0.99917066
15,0.99979264
16,0.99875593
17,0.99937797
18,0.99937797
19,0.99875593
0,1.0
1,0.9989633
2,0.99917066
3,0.99937797
4,0.99937797
5,0.9989633
6,0.99958533
7,0.99917066
8,0.99937797
9,0.99875593
10,0.99917066
11,0.99937797
12,0.99937797
13,0.99937797
14,0.99917066
15,0.99979264
16,0.99875593
17,0.99937797
18,0.99937797
19,0.99875593
