Run Num,Input Num,WLX Killed,WLX p-value,Effect Size
1,19,TRUE,8.47E-05,5.375630135
2,17,TRUE,8.66E-05,3.494140142
3,19,TRUE,8.49E-05,4.285989033
4,15,TRUE,8.40E-05,2.99414448
5,22,TRUE,8.72E-05,3.866174722
6,15,TRUE,8.20E-05,4.610615487
7,16,TRUE,8.63E-05,4.186540405
8,16,TRUE,8.45E-05,5.948790003
9,17,TRUE,8.67E-05,4.312472122
10,20,TRUE,8.56E-05,3.259953815
